,origin,destination,flow,cost,O,D,log_O,log_D,log_cost,log_flow,spline_0,spline_1,spline_2,spline_3,spline_4,spline_5,spline_6,spline_7,spline_8
319,8743a1200ffffff,8743a1308ffffff,4,12.817752522424323,615,1950,6.421622267806518,7.575584651557793,9.458664418596825,1.6094379124341003,0.0,0.013856410377601288,0.43856626435913865,0.5177477356640544,0.029829589599205786,0.0,0.0,0.0,0.0
320,8743a1200ffffff,8743a1309ffffff,2,12.45163501455838,615,1227,6.421622267806518,7.112327444710911,9.42968752725432,1.0986122886681098,0.0,0.02206600053288931,0.48518844559265795,0.4730981043043401,0.01964744957011271,0.0,0.0,0.0,0.0
321,8743a1200ffffff,8743a130affffff,1,11.149671076096908,615,962,6.421622267806518,6.8690144506657065,9.319254961274181,0.6931471805599453,0.0,0.0761083368977355,0.6198752048086643,0.30199036447008343,0.0020260938235168247,0.0,0.0,0.0,0.0
322,8743a1200ffffff,8743a130bffffff,2,10.519782288956936,615,1713,6.421622267806518,7.44600149832412,9.261107845595129,1.0986122886681098,0.0,0.11990466837359587,0.6564214474170645,0.2234866422536962,0.00018724195564344084,0.0,0.0,0.0,0.0
334,8743a1200ffffff,8743a1319ffffff,2,9.736828743021086,615,2677,6.421622267806518,7.892452043520352,9.183773450124775,1.0986122886681098,3.645401433498032e-05,0.19428391520777372,0.6639692102753422,0.14171042050254917,0.0,0.0,0.0,0.0,0.0
339,8743a1200ffffff,8743a131effffff,1,12.702853066123426,615,698,6.421622267806518,6.548219102762372,9.44966061746627,0.6931471805599453,0.0,0.01616237064440375,0.45343192883748373,0.5040784171671361,0.02632728335097642,0.0,0.0,0.0,0.0
363,8743a1200ffffff,8743a1350ffffff,8,10.672390350592293,615,1394,6.421622267806518,7.2399325913204695,9.275509039897587,2.1972245773362196,0.0,0.10806448250084293,0.6497982896578426,0.24173190306332756,0.00040532477798698195,0.0,0.0,0.0,0.0
365,8743a1200ffffff,8743a1352ffffff,6,8.43786739836975,615,885,6.421622267806518,6.785587645007929,9.04060338407916,1.9459101490553132,0.007624013984546071,0.3538957261672727,0.5843043640327152,0.05417589581546616,0.0,0.0,0.0,0.0,0.0
367,8743a1200ffffff,8743a1354ffffff,1,12.488855785665946,615,723,6.421622267806518,6.583409222158765,9.432672056669132,0.6931471805599453,0.0,0.02111318247220143,0.4805584459871357,0.47777240347593514,0.020555968064727703,0.0,0.0,0.0,0.0
369,8743a1200ffffff,8743a1356ffffff,1,10.353314968742293,615,729,6.421622267806518,6.591673732008658,9.245158617005185,0.6931471805599453,0.0,0.13377299270063847,0.6618498272848107,0.2043183735800045,5.8806434546257964e-05,0.0,0.0,0.0,0.0
384,8743a1200ffffff,8743a136effffff,1,20.597117200948734,615,1463,6.421622267806518,7.288244401020124,9.932954952588423,0.6931471805599453,0.0,0.0,0.0,0.11380205692247468,0.6532563146479995,0.2326620343357912,0.00027959409373470065,0.0,0.0
387,8743a1200ffffff,8743a1372ffffff,19,14.488080526219212,615,6377,6.421622267806518,8.760453046315272,9.58115057755386,2.995732273553991,0.0,0.00017887254608533237,0.22256322735920941,0.6567208223994827,0.12053707769522254,0.0,0.0,0.0,0.0
405,8743a1200ffffff,8743a13a9ffffff,2,10.204209302045378,615,162,6.421622267806518,5.087596335232384,9.230653584788191,1.0986122886681098,0.0,0.14706841081395142,0.6650326723920365,0.1878875623649976,1.135442901470154e-05,0.0,0.0,0.0,0.0
407,8743a1200ffffff,8743a13abffffff,2,10.504717960966031,615,161,6.421622267806518,5.081404364984463,9.259674955633479,1.0986122886681098,0.0,0.12111824568652987,0.6569913457197017,0.2217189793078005,0.00017142928596782233,0.0,0.0,0.0,0.0
409,8743a1200ffffff,8743a13adffffff,8,12.291206758578525,615,905,6.421622267806518,6.807934943699926,9.416720743689657,2.1972245773362196,0.0,0.02650124689421033,0.5047934666215964,0.4526679743584713,0.016037312125722066,0.0,0.0,0.0,0.0
511,8743a1201ffffff,8743a1200ffffff,5,2.2558762631905145,115,615,4.74493212836325,6.421622267806518,7.721736951739354,1.791759469228055,0.5982312256765101,0.22115123333051318,0.015306805374376509,0.0,0.0,0.0,0.0,0.0,0.0
514,8743a1201ffffff,8743a1203ffffff,12,2.286012901304954,115,664,4.74493212836325,6.498282149476434,7.735001835154642,2.5649493574615367,0.5982030503177568,0.22594457171265872,0.015928495887873262,0.0,0.0,0.0,0.0,0.0,0.0
516,8743a1201ffffff,8743a1205ffffff,14,2.4346643772349688,115,825,4.74493212836325,6.715383386334681,7.797974843161657,2.70805020110221,0.5958760254692284,0.24982301695951847,0.01924225833219961,0.0,0.0,0.0,0.0,0.0,0.0
