hh_id,vehicle_id,vehicle_num,year,fuel_type,hh_weight
22030549,2203054902,2,2017,4,274.6005326
22030624,2203062401,1,2015,1,1139.126259
22030684,2203068401,1,2009,1,859.5097897
22030684,2203068402,2,2015,1,859.5097897
22030860,2203086001,1,2019,1,198.9088465
22030887,2203088701,1,2020,1,243.2761868
22030905,2203090501,1,2005,1,198.8888196
22030956,2203095601,1,2017,1,381.7933942
22031016,2203101601,1,2018,1,132.2875955
22031016,2203101602,2,2012,1,132.2875955
22031052,2203105201,1,2020,1,1348.155791
22031146,2203114601,1,2020,1,2160.971677
22031146,2203114602,2,2018,1,2160.971677
22031146,2203114603,3,2012,1,2160.971677
22031381,2203138101,1,2020,1,1095.880684
22031381,2203138102,2,2021,3,1095.880684
22031393,2203139301,1,2021,1,409.4835869
22031393,2203139302,2,2000,1,409.4835869
22031469,2203146901,1,2010,1,2424.399228
22031533,2203153301,1,2021,1,277.6060301
22031565,2203156501,1,2014,1,946.2779516
22031598,2203159801,1,2010,1,209.2661155
22031776,2203177601,1,2019,1,9933.425431
22031787,2203178701,1,2018,2,1409.450809
22031911,2203191101,1,2008,1,334.6811536
22031925,2203192501,1,2015,1,3165.444305
22031925,2203192502,2,2008,1,3165.444305
22032323,2203232301,1,2009,1,3311.321701
22032440,2203244001,1,2013,1,181.7191254
22032440,2203244002,2,2021,1,181.7191254
22032627,2203262701,1,2019,1,267.1999404
22032627,2203262702,2,2020,1,267.1999404
22032744,2203274401,1,2017,1,198.9056977
22032772,2203277201,1,2016,1,470.0041681
22032772,2203277202,2,2014,1,470.0041681
22032775,2203277501,1,1992,1,742.2529402
22032775,2203277502,2,2018,1,742.2529402
22032775,2203277503,3,2020,1,742.2529402
22032803,2203280301,1,2006,1,99.44914379
22032856,2203285601,1,2016,1,272.4058297
22032905,2203290501,1,2019,4,99.44269133
22032993,2203299301,1,2022,1,964.9771095
22032993,2203299302,2,2021,1,964.9771095
22033093,2203309301,1,2009,1,1164.052502
22033170,2203317001,1,2020,1,340.2036319
22033251,2203325101,1,2015,1,294.4357987
22033561,2203356101,1,2020,1,3076.956755
22033954,2203395401,1,2013,1,198.8704178
22034176,2203417601,1,2007,1,198.9034902
22034272,2203427201,1,2007,1,1963.060772
22034272,2203427202,2,2005,1,1963.060772
22034272,2203427203,3,2008,1,1963.060772
22034306,2203430601,1,2019,1,408.9176459
22034535,2203453501,1,2015,1,90.65219908
22034535,2203453502,2,2001,1,90.65219908
22034535,2203453503,3,2013,1,90.65219908
22034535,2203453504,4,2010,1,90.65219908
22034535,2203453505,5,2021,1,90.65219908
22034535,2203453506,6,2015,1,90.65219908
22034535,2203453507,7,2020,1,90.65219908
22034535,2203453508,8,2020,1,90.65219908
22034655,2203465501,1,2016,1,158.9720293
22034655,2203465502,2,2007,1,158.9720293
22034655,2203465503,3,2021,1,158.9720293
22034852,2203485201,1,2014,1,483.5445383
22034881,2203488101,1,2011,1,971.0543289
22035025,2203502501,1,2007,1,1345.794763
22035269,2203526901,1,2021,1,3933.615021
22035487,2203548701,1,2019,1,568.6031844
22035558,2203555801,1,2017,1,198.9108337
22035655,2203565501,1,2018,1,985.396241
22035733,2203573301,1,2021,2,2483.917392
22035733,2203573302,2,2013,1,2483.917392
22035740,2203574001,1,2021,1,3311.95112
22035740,2203574002,2,2021,1,3311.95112
22036053,2203605301,1,2007,1,505.2094617
22036198,2203619801,1,2017,1,1751.906983
22036308,2203630801,1,2002,1,1266.592753
22036345,2203634501,1,2012,1,198.8907199
22036448,2203644801,1,2018,1,241.7207142
22036609,2203660901,1,2022,1,489.8769533
22036613,2203661301,1,2017,1,460.5423131
22036729,2203672901,1,2003,1,66.29484255
22036729,2203672902,2,2004,1,66.29484255
22036775,2203677501,1,2012,1,421.1187645
22036782,2203678201,1,2013,1,4037.693537
22036782,2203678202,2,2018,1,4037.693537
22036910,2203691001,1,2011,1,2263.426845
22036910,2203691002,2,2007,1,2263.426845
22036910,2203691003,3,2002,1,2263.426845
22036944,2203694401,1,2008,1,2474.886047
22036944,2203694402,2,2012,1,2474.886047
22037131,2203713101,1,2011,1,290.5698341
22037242,2203724201,1,2021,2,4777.989996
22037268,2203726801,1,2022,1,788.8558943
22037330,2203733001,1,2021,1,716.1719617
22037365,2203736501,1,2010,1,236.574127
22037505,2203750501,1,2016,1,2128.090298
22037557,2203755701,1,2015,1,1157.384724
22037593,2203759301,1,1997,1,237.0821922
22037593,2203759302,2,2021,1,237.0821922
22037918,2203791801,1,2017,1,198.90003
22037921,2203792101,1,2021,1,198.8862838
22038044,2203804401,1,2015,1,797.2650641
22038097,2203809701,1,2010,1,282.5962743
22038110,2203811001,1,2010,1,802.9151175
22038110,2203811002,2,2005,1,802.9151175
22038573,2203857301,1,2008,1,709.0761422
22038574,2203857401,1,2014,1,466.4638339
22039375,2203937501,1,2018,1,708.4298281
22039610,2203961001,1,2021,6,180.7239034
22039617,2203961701,1,2014,1,180.6864979
22039664,2203966401,1,2010,1,141.572607
22039666,2203966601,1,2019,1,192.6202109
22039724,2203972401,1,2016,1,1602.707546
22039793,2203979301,1,2012,1,641.4754084
22039793,2203979302,2,2017,1,641.4754084
22039951,2203995101,1,2017,1,1717.398134
22039951,2203995102,2,2010,1,1717.398134
22040122,2204012201,1,2022,1,838.9085618
22040122,2204012202,2,2021,2,838.9085618
22040420,2204042001,1,2015,1,90.34582667
22040470,2204047001,1,2008,1,1557.566756
22040715,2204071501,1,2020,1,104.6144848
22040744,2204074401,1,2012,1,108.889892
22040747,2204074701,1,2007,1,451.8591782
22040795,2204079501,1,2012,1,544.519176
22040881,2204088101,1,2022,1,60.2350407
22041056,2204105601,1,2016,1,707.1834569
22041056,2204105602,2,2010,1,707.1834569
22041257,2204125701,1,2007,1,151.3776901
22041816,2204181601,1,2013,1,1526.360469
22041857,2204185701,1,2020,1,310.8046909
22042063,2204206301,1,2014,1,860.3852721
22042063,2204206302,2,2016,1,860.3852721
22042302,2204230201,1,2007,1,1805.086069
22042594,2204259401,1,2015,1,209.1936297
22042594,2204259402,2,2012,1,209.1936297
22042640,2204264001,1,2022,1,330.2848984
22042875,2204287501,1,2004,1,1039.218441
22043062,2204306201,1,2016,1,2700.303852
22043193,2204319301,1,2007,1,2224.238456
22043250,2204325001,1,2021,1,3645.013924
22043375,2204337501,1,2022,1,1774.73739
22043375,2204337502,2,2020,1,1774.73739
22043520,2204352001,1,2021,1,180.714291
22043778,2204377801,1,2015,1,1231.451311
22044131,2204413101,1,2011,1,363.3610256
22044131,2204413102,2,2020,1,363.3610256
22044179,2204417901,1,2016,1,1659.316707
22044188,2204418801,1,2018,1,625.4688695
22044375,2204437501,1,2020,1,270.6512912
22044496,2204449601,1,2016,1,592.9749046
22044580,2204458001,1,2016,1,2340.205421
22044580,2204458002,2,2016,1,2340.205421
22044632,2204463201,1,2013,1,2111.449365
